year,plant_type,total_capacity_MW
2025,nuclear,13000.0
2025,wind,5575.0
2025,solar,2669.0
2025,gas,10500.0
2025,hydro,8500.0
2025,biofuel,205.0
2026,nuclear,13000.0
2026,wind,5575.0
2026,solar,2669.0
2026,gas,10500.0
2026,hydro,8500.0
2026,biofuel,205.0
2027,nuclear,13000.0
2027,wind,5575.0
2027,solar,2669.0
2027,gas,10500.0
2027,hydro,8500.0
2027,biofuel,205.0
2028,nuclear,13000.0
2028,wind,5575.0
2028,solar,2669.0
2028,gas,10500.0
2028,hydro,8500.0
2028,biofuel,205.0
2029,nuclear,13000.0
2029,wind,5575.0
2029,solar,2669.0
2029,gas,10500.0
2029,hydro,8500.0
2029,biofuel,205.0
2030,nuclear,13000.0
2030,wind,5575.0
2030,solar,2669.0
2030,gas,10500.0
2030,hydro,8500.0
2030,biofuel,205.0
2031,nuclear,13000.0
2031,wind,5575.0
2031,solar,2669.0
2031,gas,10500.0
2031,hydro,8500.0
2031,biofuel,205.0
2032,nuclear,13000.0
2032,wind,5575.0
2032,solar,2669.0
2032,gas,10500.0
2032,hydro,8500.0
2032,biofuel,205.0
2033,nuclear,13000.0
2033,wind,5575.0
2033,solar,2669.0
2033,gas,10500.0
2033,hydro,8500.0
2033,biofuel,205.0
2034,nuclear,13000.0
2034,wind,5575.0
2034,solar,2669.0
2034,gas,10500.0
2034,hydro,8500.0
2034,biofuel,205.0
2035,nuclear,13000.0
2035,wind,5575.0
2035,solar,2669.0
2035,gas,10500.0
2035,hydro,8500.0
2035,biofuel,205.0
2036,nuclear,13000.0
2036,wind,5575.0
2036,solar,2669.0
2036,gas,10500.0
2036,hydro,8500.0
2036,biofuel,205.0
2037,nuclear,13000.0
2037,wind,5575.0
2037,solar,2669.0
2037,gas,10500.0
2037,hydro,8500.0
2037,biofuel,205.0
2038,nuclear,13000.0
2038,wind,5575.0
2038,solar,2669.0
2038,gas,10500.0
2038,hydro,8500.0
2038,biofuel,205.0
2039,nuclear,13000.0
2039,wind,5575.0
2039,solar,2669.0
2039,gas,10500.0
2039,hydro,8500.0
2039,biofuel,205.0
2040,nuclear,13000.0
2040,wind,5575.0
2040,solar,2669.0
2040,gas,10500.0
2040,hydro,8500.0
2040,biofuel,205.0
2041,nuclear,13000.0
2041,wind,5575.0
2041,solar,2669.0
2041,gas,10820.202947732192
2041,hydro,8500.0
2041,biofuel,205.0
2042,nuclear,13000.0
2042,wind,5575.0
2042,solar,2669.0
2042,gas,11796.871412582303
2042,hydro,8500.0
2042,biofuel,205.0
2043,nuclear,13000.0
2043,wind,5575.0
2043,solar,2669.0
2043,gas,12795.026583659112
2043,hydro,8500.0
2043,biofuel,205.0
2044,nuclear,13000.0
2044,wind,5575.0
2044,solar,2669.0
2044,gas,13815.14116849961
2044,hydro,8500.0
2044,biofuel,205.0
2045,nuclear,13000.0
2045,wind,5575.0
2045,solar,2669.0
2045,gas,14857.698274206607
2045,hydro,8500.0
2045,biofuel,205.0
