year,plant_type,generation_MWh
2025,nuclear,93169984.0
2025,wind,17092950.0
2025,solar,3507066.0
2025,gas,0.0
2025,hydro,37230000.0
2025,biofuel,0.0
2026,nuclear,96491984.0
2026,wind,17092950.0
2026,solar,3507066.0
2026,gas,0.0
2026,hydro,37230000.0
2026,biofuel,0.0
2027,nuclear,99887068.0
2027,wind,17092950.0
2027,solar,3507066.0
2027,gas,0.0
2027,hydro,37230000.0
2027,biofuel,0.0
2028,nuclear,102492000.0
2028,wind,17092950.0
2028,solar,3507066.0
2028,gas,0.0
2028,hydro,37230000.0
2028,biofuel,864843.84799999
2029,nuclear,102492000.0
2029,wind,17092950.0
2029,solar,3507066.0
2029,gas,2974314.7646560073
2029,hydro,37230000.0
2029,biofuel,1436640.0
2030,nuclear,102492000.0
2030,wind,17092950.0
2030,solar,3507066.0
2030,gas,6598440.121478438
2030,hydro,37230000.0
2030,biofuel,1436640.0
2031,nuclear,102492000.0
2031,wind,17092950.0
2031,solar,3507066.0
2031,gas,10302296.23615098
2031,hydro,37230000.0
2031,biofuel,1436640.0
2032,nuclear,102492000.0
2032,wind,17092950.0
2032,solar,3507066.0
2032,gas,14087637.185346335
2032,hydro,37230000.0
2032,biofuel,1436640.0
2033,nuclear,102492000.0
2033,wind,17092950.0
2033,solar,3507066.0
2033,gas,17956255.63542393
2033,hydro,37230000.0
2033,biofuel,1436640.0
2034,nuclear,102492000.0
2034,wind,17092950.0
2034,solar,3507066.0
2034,gas,21909983.69140327
2034,hydro,37230000.0
2034,biofuel,1436640.0
2035,nuclear,102492000.0
2035,wind,17092950.0
2035,solar,3507066.0
2035,gas,25950693.764614135
2035,hydro,37230000.0
2035,biofuel,1436640.0
2036,nuclear,102492000.0
2036,wind,17092950.0
2036,solar,3507066.0
2036,gas,30080299.45943564
2036,hydro,37230000.0
2036,biofuel,1436640.0
2037,nuclear,102492000.0
2037,wind,17092950.0
2037,solar,3507066.0
2037,gas,34300756.47954321
2037,hydro,37230000.0
2037,biofuel,1436640.0
2038,nuclear,102492000.0
2038,wind,17092950.0
2038,solar,3507066.0
2038,gas,38614063.55409318
2038,hydro,37230000.0
2038,biofuel,1436640.0
2039,nuclear,102492000.0
2039,wind,17092950.0
2039,solar,3507066.0
2039,gas,43022263.384283185
2039,hydro,37230000.0
2039,biofuel,1436640.0
2040,nuclear,102492000.0
2040,wind,17092950.0
2040,solar,3507066.0
2040,gas,47527443.6107375
2040,hydro,37230000.0
2040,biofuel,1436640.0
2041,nuclear,102492000.0
2041,wind,17092950.0
2041,solar,3507066.0
2041,gas,52131737.802173704
2041,hydro,37230000.0
2041,biofuel,1436640.0
2042,nuclear,102492000.0
2042,wind,17092950.0
2042,solar,3507066.0
2042,gas,56837326.465821534
2042,hydro,37230000.0
2042,biofuel,1436640.0
2043,nuclear,102492000.0
2043,wind,17092950.0
2043,solar,3507066.0
2043,gas,61646438.0800696
2043,hydro,37230000.0
2043,biofuel,1436640.0
2044,nuclear,102492000.0
2044,wind,17092950.0
2044,solar,3507066.0
2044,gas,66561350.149831116
2044,hydro,37230000.0
2044,biofuel,1436640.0
2045,nuclear,102492000.0
2045,wind,17092950.0
2045,solar,3507066.0
2045,gas,71584390.28512743
2045,hydro,37230000.0
2045,biofuel,1436640.0
