year,plant_type,new_capacity_MW
2025,nuclear,0.0
2025,wind,587.9850340135999
2025,solar,0.0
2025,gas,0.0
2025,hydro,0.0
2025,biofuel,0.0
2026,nuclear,0.0
2026,wind,2084.782421768705
2026,solar,0.0
2026,gas,0.0
2026,hydro,0.0
2026,biofuel,0.0
2027,nuclear,0.0
2027,wind,793.9928852773628
2027,solar,0.0
2027,gas,0.0
2027,hydro,0.0
2027,biofuel,0.0
2028,nuclear,0.0
2028,wind,0.0
2028,solar,0.0
2028,gas,0.0
2028,hydro,0.0
2028,biofuel,0.0
2029,nuclear,0.0
2029,wind,0.0
2029,solar,0.0
2029,gas,0.0
2029,hydro,0.0
2029,biofuel,0.0
2030,nuclear,0.0
2030,wind,0.0
2030,solar,0.0
2030,gas,0.0
2030,hydro,0.0
2030,biofuel,0.0
2031,nuclear,0.0
2031,wind,0.0
2031,solar,0.0
2031,gas,0.0
2031,hydro,0.0
2031,biofuel,0.0
2032,nuclear,0.0
2032,wind,0.0
2032,solar,0.0
2032,gas,1745.1799772423674
2032,hydro,0.0
2032,biofuel,0.0
2033,nuclear,0.0
2033,wind,0.0
2033,solar,0.0
2033,gas,1763.630708170269
2033,hydro,0.0
2033,biofuel,0.0
2034,nuclear,0.0
2034,wind,0.0
2034,solar,0.0
2034,gas,1782.487355178584
2034,hydro,0.0
2034,biofuel,0.0
2035,nuclear,0.0
2035,wind,0.0
2035,solar,0.0
2035,gas,1801.7588484210937
2035,hydro,0.0
2035,biofuel,0.0
2036,nuclear,0.0
2036,wind,0.0
2036,solar,0.0
2036,gas,1821.4543145149146
2036,hydro,0.0
2036,biofuel,0.0
2037,nuclear,0.0
2037,wind,0.0
2037,solar,0.0
2037,gas,1841.583080862838
2037,hydro,0.0
2037,biofuel,0.0
2038,nuclear,0.0
2038,wind,0.0
2038,solar,0.0
2038,gas,1862.154680070369
2038,hydro,0.0
2038,biofuel,0.0
2039,nuclear,0.0
2039,wind,0.0
2039,solar,0.0
2039,gas,1883.1788544605006
2039,hydro,0.0
2039,biofuel,0.0
2040,nuclear,0.0
2040,wind,0.0
2040,solar,0.0
2040,gas,1904.665560687201
2040,hydro,0.0
2040,biofuel,0.0
2041,nuclear,0.0
2041,wind,0.0
2041,solar,0.0
2041,gas,1926.6249744508896
2041,hydro,0.0
2041,biofuel,0.0
2042,nuclear,0.0
2042,wind,0.0
2042,solar,0.0
2042,gas,1949.0674953173839
2042,hydro,0.0
2042,biofuel,0.0
2043,nuclear,0.0
2043,wind,0.0
2043,solar,0.0
2043,gas,0.0
2043,hydro,0.0
2043,biofuel,0.0
2044,nuclear,0.0
2044,wind,0.0
2044,solar,0.0
2044,gas,0.0
2044,hydro,0.0
2044,biofuel,0.0
2045,nuclear,0.0
2045,wind,0.0
2045,solar,0.0
2045,gas,0.0
2045,hydro,0.0
2045,biofuel,0.0
