year,plant_type,total_capacity_MW
2025,nuclear,13000.0
2025,wind,5575.0
2025,solar,2669.0
2025,gas,10500.0
2025,hydro,8500.0
2025,biofuel,205.0
2026,nuclear,12783.333333333334
2026,wind,5352.0
2026,solar,2580.0333333333333
2026,gas,10200.0
2026,hydro,8415.0
2026,biofuel,199.14285714285714
2027,nuclear,12566.666666666668
2027,wind,5716.9850340136
2027,solar,2491.0666666666666
2027,gas,9900.0
2027,hydro,8330.0
2027,biofuel,193.28571428571428
2028,nuclear,12350.000000000002
2028,wind,7578.767455782305
2028,solar,2402.1
2028,gas,9600.0
2028,hydro,8245.0
2028,biofuel,187.42857142857142
2029,nuclear,12133.333333333336
2029,wind,8149.760341059667
2029,solar,2313.133333333333
2029,gas,9300.0
2029,hydro,8160.0
2029,biofuel,181.57142857142856
2030,nuclear,11916.66666666667
2030,wind,7926.760341059667
2030,solar,2224.1666666666665
2030,gas,9000.0
2030,hydro,8075.0
2030,biofuel,175.7142857142857
2031,nuclear,11700.000000000004
2031,wind,7703.760341059667
2031,solar,2135.2
2031,gas,8700.0
2031,hydro,7990.0
2031,biofuel,169.85714285714283
2032,nuclear,11483.333333333338
2032,wind,7480.760341059667
2032,solar,2046.2333333333331
2032,gas,8400.0
2032,hydro,7905.0
2032,biofuel,163.99999999999997
2033,nuclear,11266.666666666672
2033,wind,7257.760341059667
2033,solar,1957.2666666666664
2033,gas,8100.0
2033,hydro,7820.0
2033,biofuel,158.1428571428571
2034,nuclear,11050.000000000005
2034,wind,7034.760341059667
2034,solar,1868.2999999999997
2034,gas,7800.0
2034,hydro,7735.0
2034,biofuel,152.28571428571425
2035,nuclear,10833.33333333334
2035,wind,6811.760341059667
2035,solar,1779.333333333333
2035,gas,9245.179977242367
2035,hydro,7650.0
2035,biofuel,146.4285714285714
2036,nuclear,10616.666666666673
2036,wind,6588.760341059667
2036,solar,1690.3666666666663
2036,gas,10708.810685412636
2036,hydro,7565.0
2036,biofuel,140.57142857142853
2037,nuclear,10400.000000000007
2037,wind,6365.760341059667
2037,solar,1601.3999999999996
2037,gas,12191.29804059122
2037,hydro,7480.0
2037,biofuel,134.71428571428567
2038,nuclear,10183.333333333341
2038,wind,6142.760341059667
2038,solar,1512.433333333333
2038,gas,13693.056889012314
2038,hydro,7395.0
2038,biofuel,128.8571428571428
2039,nuclear,9966.666666666675
2039,wind,5919.760341059667
2039,solar,1423.4666666666662
2039,gas,15214.511203527229
2039,hydro,7310.0
2039,biofuel,122.99999999999994
2040,nuclear,9750.00000000001
2040,wind,5696.760341059667
2040,solar,1334.4999999999995
2040,gas,16756.094284390067
2040,hydro,7225.0
2040,biofuel,117.14285714285708
2041,nuclear,9533.333333333343
2041,wind,5473.760341059667
2041,solar,1245.5333333333328
2041,gas,18318.248964460436
2041,hydro,7140.0
2041,biofuel,111.28571428571422
2042,nuclear,9316.666666666677
2042,wind,5250.760341059667
2042,solar,1156.5666666666662
2042,gas,19901.427818920936
2042,hydro,7055.0
2042,biofuel,105.42857142857136
2043,nuclear,9100.000000000011
2043,wind,5027.760341059667
2043,solar,1067.5999999999995
2043,gas,21506.093379608137
2043,hydro,6970.0
2043,biofuel,99.5714285714285
2044,nuclear,8883.333333333345
2044,wind,4804.760341059667
2044,solar,978.6333333333328
2044,gas,23132.718354059027
2044,hydro,6885.0
2044,biofuel,93.71428571428564
2045,nuclear,8666.666666666679
2045,wind,4581.760341059667
2045,solar,889.6666666666661
2045,gas,24781.78584937641
2045,hydro,6800.0
2045,biofuel,87.85714285714278
