year,plant_type,generation_MWh
2025,nuclear,93169984.0
2025,wind,17092950.0
2025,solar,3507066.0
2025,gas,0.0
2025,hydro,37230000.0
2025,biofuel,0.0
2026,nuclear,97664904.2
2026,wind,16409232.0
2026,solar,3390163.8
2026,gas,0.0
2026,hydro,36857700.0
2026,biofuel,0.0
2027,nuclear,99075600.00000001
2027,wind,17528276.114285696
2027,solar,3273261.6
2027,gas,0.0
2027,hydro,36485400.0
2027,biofuel,1354546.2857142857
2028,nuclear,97367400.00000001
2028,wind,23236501.019428547
2028,solar,3156359.4
2028,gas,0.0
2028,hydro,36113100.0
2028,biofuel,1313499.4285714284
2029,nuclear,95659200.00000001
2029,wind,24987165.20568894
2029,solar,3039457.1999999997
2029,gas,4033895.7875384763
2029,hydro,35740800.0
2029,biofuel,1272452.5714285714
2030,nuclear,93951000.00000003
2030,wind,24303447.20568894
2030,solar,2922555.0
2030,gas,10580188.201503739
2030,hydro,35368500.0
2030,biofuel,1231405.714285714
2031,nuclear,92242800.00000003
2031,wind,23619729.20568894
2031,solar,2805652.8
2031,gas,17206211.373319127
2031,hydro,34996200.0
2031,biofuel,1190358.857142857
2032,nuclear,90534600.00000003
2032,wind,22936011.20568894
2032,solar,2688750.5999999996
2032,gas,23913719.379657358
2032,hydro,34623900.0
2032,biofuel,1149311.9999999998
2033,nuclear,88826400.00000004
2033,wind,22252293.20568894
2033,solar,2571848.4
2033,gas,30704504.886877783
2033,hydro,34251600.0
2033,biofuel,1108265.1428571427
2034,nuclear,87118200.00000004
2034,wind,21568575.20568894
2034,solar,2454946.1999999997
2034,gas,37580400.0
2034,hydro,33879300.0
2034,biofuel,1067218.2857142854
2035,nuclear,85410000.00000004
2035,wind,20884857.20568894
2035,solar,2338043.9999999995
2035,gas,44543277.13035373
2035,hydro,33507000.0
2035,biofuel,1026171.4285714283
2036,nuclear,83701800.00000006
2036,wind,20201139.20568894
2036,solar,2221141.7999999993
2036,gas,51595049.88231808
2036,hydro,33134700.0
2036,biofuel,985124.5714285711
2037,nuclear,81993600.00000006
2037,wind,19517421.20568894
2037,solar,2104239.5999999996
2037,gas,58737673.9595685
2037,hydro,32762400.0
2037,biofuel,944077.714285714
2038,nuclear,80285400.00000006
2038,wind,18833703.20568894
2038,solar,1987337.3999999994
2038,gas,65973148.09126133
2038,hydro,32390100.0
2038,biofuel,903030.8571428568
2039,nuclear,78577200.00000006
2039,wind,18149985.20568894
2039,solar,1870435.1999999995
2039,gas,73303514.97859418
2039,hydro,32017800.0
2039,biofuel,861983.9999999997
2040,nuclear,76869000.00000007
2040,wind,17466267.20568894
2040,solar,1753532.9999999993
2040,gas,80730862.26219134
2040,hydro,31645500.0
2040,biofuel,820937.1428571424
2041,nuclear,75160800.00000007
2041,wind,16782549.20568894
2041,solar,1636630.7999999993
2041,gas,88257323.51077038
2041,hydro,31273200.0
2041,biofuel,779890.2857142852
2042,nuclear,73452600.00000007
2042,wind,16098831.205688938
2042,solar,1519728.5999999994
2042,gas,95885079.23156108
2042,hydro,30900900.0
2042,biofuel,738843.428571428
2043,nuclear,71744400.00000009
2043,wind,15415113.205688938
2043,solar,1402826.3999999992
2043,gas,103616357.902952
2043,hydro,30528600.0
2043,biofuel,697796.5714285709
2044,nuclear,70036200.00000009
2044,wind,14731395.205688938
2044,solar,1285924.1999999993
2044,gas,111453437.02985638
2044,hydro,30156300.0
2044,biofuel,656749.7142857137
2045,nuclear,68328000.00000009
2045,wind,14047677.205688938
2045,solar,1169021.9999999993
2045,gas,119398644.22229555
2045,hydro,29784000.0
2045,biofuel,615702.8571428566
