year,plant_type,generation_MWh
2025,nuclear,88512931.80708538
2025,wind,17139779.999999996
2025,solar,3516674.4
2025,gas,4076194.914753346
2025,hydro,37332000.0
2025,biofuel,422418.8781613115
2026,nuclear,90597745.23774444
2026,wind,17139779.999999996
2026,solar,3516674.4
2026,gas,5248274.455596029
2026,hydro,37332000.0
2026,biofuel,487525.9066595474
2027,nuclear,90395186.48981228
2027,wind,20575536.411580708
2027,solar,3516674.4
2027,gas,5405856.612722682
2027,hydro,37332000.0
2027,biofuel,491830.0858843405
2028,nuclear,91605395.2055322
2028,wind,21837629.127905022
2028,solar,3516674.4
2028,gas,6353289.86328298
2028,hydro,37332000.0
2028,biofuel,541871.251279815
2029,nuclear,93105207.38131337
2029,wind,22431005.169958197
2029,solar,3516674.4
2029,gas,7713744.16201448
2029,hydro,37332000.0
2029,biofuel,634339.6513699658
2030,nuclear,94779345.32109806
2030,wind,22431005.169958197
2030,solar,3516674.4
2030,gas,9566933.317214468
2030,hydro,37332000.0
2030,biofuel,731137.9132077311
2031,nuclear,96298731.47496663
2031,wind,22431005.169958197
2031,solar,3516674.4
2031,gas,11694696.134351583
2031,hydro,37332000.0
2031,biofuel,787845.0568745852
2032,nuclear,97630758.27824514
2032,wind,22431005.169958197
2032,solar,3516674.4
2032,gas,14052399.127030488
2032,hydro,37332000.0
2032,biofuel,883456.2101125366
2033,nuclear,98662349.94180553
2033,wind,22431005.169958197
2033,solar,3516674.4
2033,gas,16739102.278176866
2033,hydro,37332000.0
2033,biofuel,1033779.8454833692
2034,nuclear,99506364.97444366
2034,wind,22431005.169958197
2034,solar,3516674.4
2034,gas,19795111.147001445
2034,hydro,37332000.0
2034,biofuel,1087484.0
2035,nuclear,100242370.49102394
2035,wind,22431005.169958197
2035,solar,3516674.4
2035,gas,23040703.582015954
2035,hydro,37332000.0
2035,biofuel,1146596.1216160818
2036,nuclear,100866039.85479903
2036,wind,22431005.169958197
2036,solar,3516674.4
2036,gas,26508500.034678455
2036,hydro,37332000.0
2036,biofuel,1184736.0
2037,nuclear,101420363.28903331
2037,wind,22431005.169958197
2037,solar,3516674.4
2037,gas,30141413.101422925
2037,hydro,37332000.0
2037,biofuel,1217956.5191288197
2038,nuclear,101880975.34392773
2038,wind,22431005.169958197
2038,solar,3516674.4
2038,gas,33943915.52419967
2038,hydro,37332000.0
2038,biofuel,1268149.116007617
2039,nuclear,102225911.41920531
2039,wind,22431005.169958197
2039,solar,3516674.4
2039,gas,37963865.77266339
2039,hydro,37332000.0
2039,biofuel,1311462.6224563469
2040,nuclear,102473272.15562357
2040,wind,22431005.169958197
2040,solar,3516674.4
2040,gas,42186272.39399817
2040,hydro,37332000.0
2040,biofuel,1346875.4911575937
2041,nuclear,102650867.60649996
2041,wind,22431005.169958197
2041,solar,3516674.4
2041,gas,46582966.44548001
2041,hydro,37332000.0
2041,biofuel,1376880.1802355647
2042,nuclear,102757351.7299641
2042,wind,22431005.169958197
2042,solar,3516674.4
2042,gas,51149947.96982825
2042,hydro,37332000.0
2042,biofuel,1409003.196070997
2043,nuclear,102772800.0
2043,wind,22431005.169958197
2043,solar,3516674.4
2043,gas,55912038.510111436
2043,hydro,37332000.0
2043,biofuel,1440576.0
2044,nuclear,102772800.0
2044,wind,22431005.169958197
2044,solar,3516674.4
2044,gas,60826950.57987294
2044,hydro,37332000.0
2044,biofuel,1440576.0
2045,nuclear,102772800.0
2045,wind,22431005.169958197
2045,solar,3516674.4
2045,gas,65849990.71516927
2045,hydro,37332000.0
2045,biofuel,1440576.0
