alpha,plant_type,capacity_MW,new_capacity_MW
0.0,nuclear,13000.0,0.0
0.0,wind,104122.15233359061,98547.15233359061
0.0,solar,2669.0,0.0
0.0,gas,10500.0,0.0
0.0,hydro,8500.0,0.0
0.0,biofuel,205.0,0.0
0.1,nuclear,13000.0,0.0
0.1,wind,51083.98507141675,45508.98507141675
0.1,solar,2669.0,0.0
0.1,gas,10500.0,0.0
0.1,hydro,8500.0,0.0
0.1,biofuel,205.0,0.0
0.2,nuclear,13000.0,0.0
0.2,wind,46440.76165537344,40865.76165537344
0.2,solar,2669.0,0.0
0.2,gas,10500.0,0.0
0.2,hydro,8500.0,0.0
0.2,biofuel,205.0,0.0
0.30000000000000004,nuclear,13000.0,0.0
0.30000000000000004,wind,42591.537470172,37016.537470172
0.30000000000000004,solar,2669.0,0.0
0.30000000000000004,gas,10500.0,0.0
0.30000000000000004,hydro,8500.0,0.0
0.30000000000000004,biofuel,205.0,0.0
0.4,nuclear,13000.0,0.0
0.4,wind,40438.29519073346,34863.29519073346
0.4,solar,2669.0,0.0
0.4,gas,10500.0,0.0
0.4,hydro,8500.0,0.0
0.4,biofuel,205.0,0.0
0.5,nuclear,13000.0,0.0
0.5,wind,40438.29519073346,34863.29519073346
0.5,solar,2669.0,0.0
0.5,gas,10500.0,0.0
0.5,hydro,8500.0,0.0
0.5,biofuel,205.0,0.0
0.6000000000000001,nuclear,13000.0,0.0
0.6000000000000001,wind,37662.616602817834,32087.616602817834
0.6000000000000001,solar,2669.0,0.0
0.6000000000000001,gas,12266.34091958267,1766.3409195826698
0.6000000000000001,hydro,8500.0,0.0
0.6000000000000001,biofuel,205.0,0.0
0.7000000000000001,nuclear,13000.0,0.0
0.7000000000000001,wind,34931.99316646432,29356.993166464323
0.7000000000000001,solar,2669.0,0.0
0.7000000000000001,gas,14004.01037908036,3504.0103790803605
0.7000000000000001,hydro,8500.0,0.0
0.7000000000000001,biofuel,205.0,0.0
0.8,nuclear,13000.0,0.0
0.8,wind,38196.91813462875,32621.91813462875
0.8,solar,2669.0,0.0
0.8,gas,11926.330853884814,1426.3308538848141
0.8,hydro,8500.0,0.0
0.8,biofuel,205.0,0.0
0.9,nuclear,13000.0,0.0
0.9,wind,36003.78989969266,30428.78989969266
0.9,solar,2669.0,0.0
0.9,gas,13321.957912480508,2821.9579124805077
0.9,hydro,8500.0,0.0
0.9,biofuel,205.0,0.0
1.0,nuclear,13000.0,0.0
1.0,wind,7296.059448984582,1721.0594489845816
1.0,solar,2669.0,0.0
1.0,gas,31590.513653840197,21090.513653840197
1.0,hydro,8500.0,0.0
1.0,biofuel,205.0,0.0
